;Personer med dansk oprindelse;Indvandrere fra vestlige lande;Indvandrere fra ikke-vestlige lande;Efterkommere fra vestlige lande;Efterkommere fra ikke-vestlige lande
København;470292;58593;65954;6394;31107
Frederiksberg;84430;7967;8003;968;2937
Dragør;13267;540;501;72;114
Tårnby;36975;1556;2924;265;1269
Albertslund;19561;970;4069;186;2945
Ballerup;40241;1553;4074;327;2407
Brøndby;23280;1558;5801;340;4111
Gentofte;62663;4992;5517;566;1092
Gladsaxe;54104;3554;7459;606;3539
Glostrup;18238;899;2446;150;1395
Herlev;23390;872;2775;201;1715
Hvidovre;42554;2141;5333;366;3133
Høje-Taastrup;35482;2833;7164;545;4735
Ishøj;13484;1352;4366;281;3506
Rødovre;32173;1491;4206;268;2514
Vallensbæk;11965;837;2124;139;1568